(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
3 5 7 12 (53)
2 5 7 12 (53)
5 7 12 14 (53)
2 3 5 7 (53)
3 5 7 14 (53)
2 5 7 14 (53)
2 3 5 12 (53)
3 5 12 14 (53)
2 5 12 14 (53)
2 3 5 14 (53)
6 8 10 13 (53)
6 8 10 11 (53)
4 6 8 10 (53)
6 8 9 10 (53)
6 7 8 10 (53)
6 8 10 12 (53)
3 6 8 10 (53)
2 6 8 10 (53)
6 8 10 14 (53)
6 10 11 13 (53)
4 6 10 13 (53)
6 9 10 13 (53)
6 7 10 13 (53)
6 10 12 13 (53)
3 6 10 13 (53)
2 6 10 13 (53)
6 10 13 14 (53)
4 6 10 11 (53)
6 9 10 11 (53)
6 7 10 11 (53)
6 10 11 12 (53)
3 6 10 11 (53)
2 6 10 11 (53)
6 10 11 14 (53)
4 6 9 10 (53)
4 6 7 10 (53)
4 6 10 12 (53)
3 4 6 10 (53)
2 4 6 10 (53)
4 6 10 14 (53)
6 7 9 10 (53)
6 9 10 12 (53)
3 6 9 10 (53)
2 6 9 10 (53)
6 9 10 14 (53)
6 7 10 12 (53)
3 6 7 10 (53)
2 6 7 10 (53)
6 7 10 14 (53)
3 6 10 12 (53)
2 6 10 12 (53)
6 10 12 14 (53)
2 3 6 10 (53)
3 6 10 14 (53)
2 6 10 14 (53)
6 8 11 13 (53)
4 6 8 13 (53)
6 8 9 13 (53)
6 7 8 13 (53)
6 8 12 13 (53)
3 6 8 13 (53)
2 6 8 13 (53)
6 8 13 14 (53)
4 6 8 11 (53)
6 8 9 11 (53)
6 7 8 11 (53)
6 8 11 12 (53)
3 6 8 11 (53)
2 6 8 11 (53)
6 8 11 14 (53)
4 6 8 9 (53)
4 6 7 8 (53)
4 6 8 12 (53)
3 4 6 8 (53)
2 4 6 8 (53)
4 6 8 14 (53)
6 7 8 9 (53)
6 8 9 12 (53)
3 6 8 9 (53)
2 6 8 9 (53)
6 8 9 14 (53)
6 7 8 12 (53)
3 6 7 8 (53)
2 6 7 8 (53)
6 7 8 14 (53)
3 6 8 12 (53)
2 6 8 12 (53)
6 8 12 14 (53)
2 3 6 8 (53)
3 6 8 14 (53)
2 6 8 14 (53)
4 6 11 13 (53)
6 9 11 13 (53)
6 7 11 13 (53)
